0,1,2,3
北辰墅院1900,42000,1050-1203,0
炫立方,30000,0,0
旭辉26街区,36000,200,0
顺鑫颐和天璟,33000,360-480,1
顺鑫颐和天璟,33000,790-810,1
誉天下盛寓,65000,720,1
北京城建北京合院,47000,450-620,1
北京城建北京合院,45000,850-1300,1
首创·河著,41000,1200-1900,1
公园十七区,55000,820-1200,1
国誉府,41000,560,1
建邦·顺颐府,55583,467-845,0
中铁诺德阅墅,62000,1300-1700,1
合景泰富天汇,33000,330-530,1
金茂北京国际社区,32000,170-395,1
建邦·顺颐府,55583,1300,0
金禧璞瑅,47000,650-750,1
金禧璞瑅,36000,1250-1450,1
北京庄园,7682-18000,0,1
旭辉26街区,33500,166,0
住总正华新国展满庭芳,20000,186,0
迈宇平墅,34000,658-732,1
路劲御和府,42000,270-530,1
龙湖云河砚,38500,350-465,1
龙湖云河砚,38500,700-900,1
公园都会,39000,280-540,1
艾迪公园,26000,310-360,0
中建宸庐,42000,500-580,0
和光瑞府,62000,700-950,1
和锦华宸,39000,390-490,1
